market_id,market_question,event_id,trades,win_rate,total_pnl,avg_pnl,max_gain,max_loss,avg_holding_steps
1506432,Will the highest temperature in Ankara be 8°C on March 7?,1506432,4,1.0,1.4194159999999998,0.3548539999999999,0.4605439999999999,0.2587999999999999,4.5
1506329,Will the highest temperature in Paris be 18°C on March 7?,1506329,3,1.0,1.1588,0.3862666666666667,0.394768,0.373224,2.67
1506404,Will the highest temperature in Atlanta be between 80-81°F on March 7?,1506404,2,1.0,0.746448,0.373224,0.373224,0.373224,3.0
1506405,Will the highest temperature in Atlanta be between 82-83°F on March 7?,1506405,2,1.0,0.6794719999999999,0.3397359999999999,0.373224,0.3062479999999999,2.5
1506387,Will the highest temperature in New York City be between 46-47°F on March 7?,1506387,1,1.0,0.3957119999999999,0.3957119999999999,0.3957119999999999,0.3957119999999999,8.0
1506458,Will the highest temperature in Munich be 16°C on March 7?,1506458,1,1.0,0.3317519999999999,0.3317519999999999,0.3317519999999999,0.3317519999999999,5.0
1506337,Will the highest temperature in Sao Paulo be 28°C on March 7?,1506337,1,1.0,0.285304,0.285304,0.285304,0.285304,2.0
1506376,Will the highest temperature in Seattle be between 52-53°F on March 7?,1506376,1,1.0,0.2414159999999999,0.2414159999999999,0.2414159999999999,0.2414159999999999,1.0
1506431,Will the highest temperature in Ankara be 7°C on March 7?,1506431,2,0.5,0.0504799999999999,0.0252399999999999,0.162216,-0.1117360000000001,16.0
1506310,Will the highest temperature in London be 10°C on March 7?,1506310,1,0.0,-0.3414000000000001,-0.3414000000000001,-0.3414000000000001,-0.3414000000000001,2.0
